cleaned_type,capacity_MW,address,year,company,owner
gas,400.0,경북 안동시 풍산읍 괴정리,2011,한국남동발전(주)(안동복합화력),이상호
wind,12.5,경북 경주시 감포읍,2011,신월성풍력(주),신승정
wind,20.0,경북 경주시 양남면,2011,한국동서발전(주),이길구
coal,2100.0,충남 태안군 원북면발전로 447-40,2011,"한국서부발전(주)(태안 #9,10호기)",김문덕
bioenergy,100.0,충남 당진군 송악면부곡리 564,2011,당진바이오메스GS - EPS(주),이완경
others,4.7,경북 경주시 천군동1516번지 일원,2011,폐열발전(경주환경에너지),황보현
wind,42.0,경북 영양군 영양읍,2011,STX에너지(주),이병호
solar,11.0,부산 강서구 신호동,2012,부산신호태양광발전(주)1호기,강태일
solar,9.0,부산 강서구 신호동,2012,부산신호태양광발전(주)2호기,강태일
wind,20.0,경남 양산시 원동면,2012,에스케이이엔에스(주),문덕규
others,58.8,경기도 화성시 향남읍,2012,경기연료전지발전(주),김준수
gas,872.0,울산 남구 남화동,2012,울산 4 복합화력발전(한국동서발전),이길구
gas,868.5,경기도 평택시 포승면,2012,평택복합 2단계 발전,김문덕
solar,10.0,전남 해남군 황산면원호리 435-1외 5필지,2012,(주)금약코리아,이치훈
solar,13.3,전남 영암군 삼호읍삼포리 1895-8,2012,영암에프원태양발전(주),오경홍
others,834.3,경기도 안산시 초지동MTV5공구 BL 103-1,2012,S-POWER(주)(안산복합),유재권김양수
others,841.2,서울시 강남구 논현로 508서울시 영등포구여의도동35-6,2012,GS에너지(주)(주)삼천리 컨소시엄,나완배신완중
others,432.4,경기도 오산시 누읍동332,2012,대성산업(주)코젠사업부,김영대
others,91.7,충남 서산시 대산읍독곶리 411-1,2012,삼성토탈(주),손석원마크반더엘스터
wind,20.0,강원도 태백시 창죽동산63번지,2012,대명지이씨(주),서기섭
coal,1100.0,충남 당진시 석문면교로3리 1026외,2012,동부발전당진(주),최홍건
others,113.0,대전시 대덕구 신일서로68번길 71,2012,대전열병합발전(주),고훈진
others,16.0,경기도 평택시 죽백동334-3,2012,평택에너지서비스(주),박영덕
solar,6.9,전남 해남군 황산면호동리 909-21,2012,(주)다남솔라,이재문
solar,7.9,"전남 해남군 황산면한자리726,752-1,747및호동리968-6",2012,(주)제이더블유에너지,이정원
gas,398.9,경기도 하남시 풍산동일원,2012,코원에너지서비스(주),조민래
coal,85.1,전북 군산시 소룡동53-8,2012,군장에너지(주),오창석
others,20.8,경기도 시흥시 정왕동시화공단 2바 101,2012,KG ETS(주),이정섭
others,10.0,강원도 원주시 지정면신평리 420-1,2012,한국중부발전(주),남인석
coal,55.0,충북 청원군 옥산면국사리,2012,충청에너지서비스,손동식
solar,1283.9,"경기도 화성시 석우동39,동탄면 방교리 634",2012,한국지역난방공사,정승일
gas,42.6,경남 진주시 남강로1317길 24,2012,무림파워텍(주),김대영
gas,62.6,경기도 안산시 초지동672,2012,안산도시개발(주),정경수김진규
gas,228.0,경기도 하남시 학암동일원,2012,위례에너지서비스(주),박영수
gas,525.0,경기도 부천시 오정구삼정동 363-3,2012,GS파워(주),손영기
solar,9.0,경기도 이천시 대월면초지리 57,2012,네추럴오투피아(주),백종호윤정택
coal,300.0,전남 여수시 월화동144-16 화치동 1293,2012,금호석유화학(주),박찬구
coal,372.9,전남 여수시 산단중앙로 145전북 군산시 비응도동 31,2012,여수열병합발전(주),권혁웅
gas,303.0,전북 군산시새만금산업단지내,2012,OCI SE (주),김재신
wind,48.0,경북 청송군 현서면무계리 산 11,2012,청송 면봉산풍력발전,조정호
wind,30.0,"강원도 평창군 미탄면회동리,평안리정선군 정선읍 회동리",2012,평창풍력발전(주),백흥건
coal,160.0,경기도 포천시 신북면신평리 220-1,2012,STX에너지(주),이병호
coal,77.0,경기도 안산시 단원구초지동 661,2012,STX에너지(주),이병호
coal,185.3,경북 구미시 공단2동291,2012,STX에너지(주),이병호
solar,4.0,충청남도 부여군 장암면석동리 산42-1,2012,삼부건설(주),장덕영
others,40.0,충북 단양군 매포읍매포리 270,2012,이에스파워 유한회사,심수섭
gas,38.1,시흥 장현 목감지구내일원,2013,(주)GS&(주)소모석유컨소시엄,서경석신준수
gas,6.0,경기도 시흥시 정왕동1771-1,2013,안산도시개발(주),장경규김진규
wind,40.0,경남 거제시 일운면소동리 일원,2013,거제풍력(주),박기철김성훈
wind,39.0,전남 신안군 자은면백산리 일원,2013,자은주민바람발전소,임춘호
coal,18.0,충북 제천시 송학면입석리 289,2013,군장에너지(주),오창석
solar,25.0,전남 고흥군 금산면어적리 264,2013,거금솔라파크,최규석
solar,25.0,전남 고흥군 대서면남정리 2431-26,2013,남정수상태양광,김명희
wind,12.0,경북 경주시 강동면왕신리 산46-1,2013,경주산업단지풍력발전(주),박근식
wind,6.0,경북 경주시 천북면화산리 1180-21,2013,경주산업단지풍력발전(주),박근식
gas,25.3,충남 천안시 청당동청수8로 54,2013,중부도시가스(주),유대표
others,20.0,광주광역시광주전남혁신도시내,2013,한국지역난방공사,정승일
gas,950.0,충남 당진군 송악면부곡공단로 241,2013,GSEPS(주),이완경
others,9.9,경기도 화성시 장안면노진리 16,2013,SE그린 에너지(주),정광성
gas,1147.0,인천시 서구 원창동437-1,2013,포스코에너지(주),오창관
solar,10.4,대구시 달성군 하빈면동곡리,2013,낙동강발전(주),박유성
wind,40.0,강원도 정선군 고한읍고한리 산216-1 등지,2013,정암풍력발전(주),이용운
gas,130.4,경기도 남양주시별내3로 391 일원,2013,별내에너지(주),이승칠
bioenergy,38.9,"충남 당진군 석문면삼봉리, 고대면 성산리",2013,"(주)경동,한국동서발전(주),코오롱글로벌(주)",손달호이길구안병덕
coal,395.1,전북 군산시 소룡동53-8 일원,2013,군장에너지(주),오창석
gas,62.6,경기도 안산시 단원구초지동 672,2013,안산도시개발(주),장경수김진규
coal,2120.0,강원도 강릉시 강동면대동리 일원,2013,삼성물산(주),정연주
coal,2100.0,경남 고성군 하이면덕호리 880번지 외,2013,SK건설(주),최광철조기행
solar,3.3,경남 진주시 이반성면장안리 1081-2외 38필지,2013,애플토리아(주),박정욱
wind,60.0,경북 청송군 현서면무계리 산11번지 일원,2013,청송 면봉산풍력(주),조정호
solar,10.1,충남 아산시 인주면금성리 123,2013,현대아산태양광발전(주),임장순
wind,20.0,경남 거창군 신원면덕산리 산57번지 일원,2013,대명지이씨(주),서기섭
solar,20.0,전남 나주시 영산동 664-1292필지,2013,영산강발전이(주),이인규
gas,1000.0,경기도 여주군 북내면외룡리 366,2013,SK E&S,유정준
coal,221.9,전북 군산시 외항로1222,2013,한화에너지(주),권혁응
solar,9.0,전남 해남군 송지면학가리 324-1,2013,(주)해남그린에너지,오형석
wind,60.0,전남 신안군 비금면구림리 39-10,2013,(주)서희건설,곽선기
gas,469.0,경기도 하남시 학암동 일원(사업지구 내),2013,위례에너지서비스(주),박영수
coal,38.0,울산시 남구 횡성동처용로 718 일원,2013,SK케미칼(주),이문석
solar,25.0,전남 무안군 운남면연리 및 성내리 등지,2013,(주)인순,나은경
solar,3.9,충남 당진시 석문면난지도리 183 일원,2013,세현어너지(주),최종하
coal,2100.0,강원도 삼척시 적노동일원,2013,동양파워(주),최연희
wind,99.5,전북 부안군 위도 및전남 영광군 안마군도,2013,한국해상풍력(주),최인규
gas,920.0,경남 통영시 광도면 일원,2013,통영에코파워(주),김성일
gas,960.4,경기도 포천시 신북면계류리 일원,2013,대우에너지(주),조재민
gas,470.0,울산시 남구 매암동 29,2013,한국남부발전(주),이상호
gas,5.9,서울시 강서구 양천로201번지,2013,서남바이오에너지(주),장광성
gas,939.8,경기도 안양시 동안구부림로 100,2013,GS파워(주),손영기
wind,40.0,전남 신안군 자은면백산리 271번지 일원,2013,(주)천사풍력,김기중
solar,8.0,전남 해남군 화원면 구림리일원,2013,(주)탑선에너지,윤정택
solar,10.0,충남 서산시 대산읍기은리 628-6 등지,2013,대산에너지(주),문재경
solar,6.5,제주시 애월읍 어음리산 68-4번지 일원,2013,제주에코에너지(주),주효준이성찬
solar,6.0,경북 봉화군 봉성면외삼리 산124외 12필지,2013,(주)화정네트웍스,성유철
solar,4.0,세종시 부강면 부강리산23 육군종합보급창고,2013,하이패스태양광(주),홍찬희
solar,10.0,전남 나주시 영산동664-1 등지,2013,영산강발전이(주),이인규
solar,5.0,전남 나주시 영산동664-1 등지,2013,영산강발전삼(주),이인규
solar,5.0,전남 나주시 영산동664-1 등지,2013,영산강발전사(주),이인규
nuclear,2800.0,울산광역시 울주군서생면 신암리 일원,2013,한국수력원자력(주),조 석
coal,1000.0,충남 서천군 마량리일원,2013,한국중부발전(주),최평락
coal,16.2,울산시 울주군 온산읍신암리 360,2013,삼성에버랜드(주),김봉영
bioenergy,9.9,"경북 고령군 다산면송곡리 1049-2,3번지",2013,(주)제이더블유에스피에스,이정원
others,97.0,충남 예산군 삽교읍1-21,2013,롯데건설(주),박창규
solar,3.3,경남 진주시 이반성면장안리 1081-2외38필지,2013,진주철도솔라(주)],박정욱
solar,5.3,전남 영암군 삼호읍삼포리 1949번지,2013,에스케이디앤디(주),함스테판윤성
solar,8.9,충남 당진시 신평면매산리 164-8,2013,베스트솔라에너지(주),김지훈
wind,60.0,강원도 강릉시 강동면임곡리 외,2013,한국남부발전(주),이상호
wind,20.0,강원도 태백시 하사미동산 220-3 일원,2013,한국남부발전(주),이상호
bioenergy,9.9,충남 논산시 은진면시묘리 470-1외 11필지,2013,글로벌에너지개발(주),장 옥
others,19.6,서울시 강동구 강일동227-1외,2013,SK E&S(주),유정준
bioenergy,32.4,전북 전주시 덕진구팔복로 59,2013,전주페이퍼(주),주우식
gas,463.0,강원도 춘천시 동산면봉명리(동춘천산업단지),2013,(주)포스코건설,정동화
others,8.5,인천시 남구 도화동 825,2013,이건에너지(주),이길수박승준
others,19.7,강원도 삼척시 동양길20(사직동),2013,삼척에너지(주),이윤영
others,9.8,대구시 달성군 논공읍본리리 29-55 산단내,2013,달성에너지(주),오성준
wind,18.0,전남 완도군 신지면월양리 산20-1일원,2013,아일랜드발전투자(주),은용석
wind,30.0,전남 영광군 백수읍상사리 및 하사리 일원,2013,영광백수풍력발전(주),양재휘
wind,21.0,전남 영광군 백수읍 약수리및 지산리 일원,2013,영광약수풍력발전(주),김양수
wind,23.1,강원도 평창군 대관령면횡계리 산1-1,2013,대관령풍력(주),박대문
solar,8.0,전남 고흥군 대서면남정리 2431 일원,2013,(주)에너지워터,공유덕
gas,36.3,서울시 강동구 고덕동35-1,2013,코원에너지서비스(주),조민래
gas,303.0,전북 군산시새만금산업단지 내,2013,OCISE(주),김재신
gas,415.0,대구혁신도시,2013,대구그린파워(주),김영호
gas,762.3,경기도양주신도시(옥정.회천),2013,(주)대륜발전,이승칠
gas,103.5,전남 여수시여수산단4로 58,2014,LG화학,박진수
gas,117.0,충남 아산시 배방읍 장재리672-1번지,2014,한국토지주택공사,이재영
solar,3.0,충남 태안군 안면읍중장리 425-60 등지,2014,(주)포에버,이영경
solar,3.1,충남 부여군 세도면사산리 594 등지,2014,(주)부여에너지팜,오형석
solar,4.2,충남 서산시 해미면언암리 514-3 등지,2014,해미솔라에너지(주),김범현
solar,3.2,충남 서산시 해미면언암리 500-1 등지,2014,해미솔라에너지(주),김범현
bioenergy,75.0,경기도 평택시 포승읍내기리 608-17,2014,유효산업개발(주),유정환
wind,89.1,"경북 영양군 영양읍무창리,무학리,기산리 및수비면 송하리 등지",2014,에이더블유피,김동휘
gas,123.0,충남 아산시 배방읍장재리 672-1 일원,2014,한국토지주택공사,이재영
wind,10.0,경남 양산시 상북면공원로 305-391 일원,2014,에임슨파워(주),류승보
wind,38.0,"경북 영양군 영양읍양구리, 석보면 홍계리",2014,영양윈드파워(주),남병현
solar,6.0,부산 강서구르노삼성대로 61 지붕,2014,부산신호태양광2(주),신성룡
wind,36.0,전남 영광군 염산면봉남리 1100번지 일원,2014,대명지이씨(주),서기섭
bioenergy,9.9,강원도 강릉시 강동면임곡리 21,2014,(주)인코테크,신재원
bioenergy,9.9,울산시 울주군 삼남면상천리 101-1일원,2014,지씨테크(주),유근섭
bioenergy,5.0,세종시 장군면 봉안리160-13,2014,에너파워(주),김행남
solar,7.2,경기도 파주시 월롱면덕은리 1271 건물지붕,2014,(주)서브원,박규석
gas,6.4,대구시 서구 와룡로87길 92(이현동),2014,(주)서대구에너지,김철민
solar,9.9,인천시 동구 송현3동147 일원,2014,아이씨솔라(주),이창원
others,5.0,경기도 광명시 자경로17,2014,(주)에스파워,유재권김양수
others,398.9,경기도 하남시 풍산동113-19일원 하남미사,2014,하남에너지서비스(주),배명호
solar,3.0,"충남  부여군  양화면  송정리 산11,  산12-1,  185-1,    185-4",2014,티에스에너지,윤정택
solar,6.0,충남  부여군  옥산면  상기리 산49-1,2014,티에스에너지,윤정택
solar,4.0,충남  부여군  홍산면  상천리 산70-1,2014,티에스에너지,윤정택
solar,7.8,"전남  해남군  황산면  원호리 435-92,435-98",2014,필에너지,서재필
bioenergy,9.5,전남  곡성군  겸면  곡순로 1672번지  32-36(상덕리    515),2014,가이아,최신욱
wind,20.0,"전남  보성군  보성읍  봉산리, 옥평리,  득량면  정흥리    일대(봉화산일대)",2014,보성풍력발전,박성호
wind,60.0,"경북  울진군  기성면,  원남면 현종산  일원",2014,에스케이디앤디,함스테판윤성
others,3.1,경북  김천시  공단3길  64(응명동),2014,코오롱플라스틱,장희구
gas,868.5,경기  평택시  포승읍  남양만로 175-2,2014,한국서부발전,조인국
others,32.3,"강원  원주시  문막읍  원문로 2047(반계리    2262-5,6,7)일원",2014,원주에너지,김영만
others,9.0,경북  구미시  임수로  24번길 일원,2014,엘지씨엔에스,김대훈
gas,40.0,경기  안산시  단원구  첨단로 267번길  31,2014,GS  E&R,하영봉
wind,14.0,전남  영광군  법성면  입암리 산34번지  일원,2014,영광서진풍력,김광언
wind,20.0,울산시  북구  대안동  산288-1,2014,동대산풍력발전,김옥색
wind,100.0,강원  고성군  간성읍  흘리  일원,2014,고성알프스풍력발전,장기태
wind,45.0,전남  신안군  자은면  고장리 산224-13  일원,2014,천사풍력,홍길락
solar,9.0,인천시  남구  학익동  723번지,2014,아이씨솔라일호,신종우
solar,8.0,인천시  남구  학익동  723번지,2014,아이씨솔라이호,최성돈
solar,8.1,인천시  남구  학익동  723번지,2014,아이씨솔라삼호,김광주
solar,17.8,전남  해남군  황산면  한자리 23-4외  7필지,2014,제이더블유에너지,이정원
solar,21.8,전남  해남군  황산면  한자리 23-11외  3필지,2014,제이더블유솔라파크,이정원
solar,9.0,"충남  태안군  안면읍  창기리 209-328,  209-330번지",2014,탑인프라창기태양광,정회걸
others,285.0,서울시  강서구  마곡동  72,2014,서울특별시,서울시장
wind,11.5,"전남  보성군  미력면  덕림리 산13-3(임),  4-1(전)",2014,전남풍력발전,박근식
wind,20.0,"울산시  북구  대안동  산288-1, 산79,  산78-1,  산78",2014,한국동서발전,장주옥
others,12.1,경북  포항시  남구  호동  39-3,2014,포스코건설,황태현
solar,4.0,서울시  마포구  양화로  151(동교동),2014,케이에스솔라2호,신성룡
solar,3.5,충남  서천군  서면  신합리 311-1,2014,서부솔라발전,구남중
solar,4.0,충남  보령시  성주면  개화리 산30,2014,탑선그린영암에너지,윤정택
solar,4.0,충남  보령시  성주면  개화리 산30,2014,탑선태양광2호,윤정택
bioenergy,10.0,"경기  양주시  남면  상수리 247,  247-1,  247-2,    248, 248-3",2014,영동항공영농,김경구
wind,6.6,"전북  군산시  비응도동  21,  19, 22,  23,    24,,35번지",2014,현대중공업,이재성
wind,39.0,"강원도  평창군  대관령면  횡계리  산178,  188-1,    188-10, 188-11,  1-134",2014,횡계신재생발전 ,조성훈 
bioenergy,9.5,전북  남원시  광치동  산7번지,2014,엔텍바이오파워,이  완
solar,3.1,충남  부여군  은산면  가중리 산10-26,2014,천광,천경아
bioenergy,9.9,"경기  양주시  남면  상수리  산112-11,  산113",2014,글로벌에너지,장  옥
bioenergy,9.9,경기  양주시  남면  상수리  산112-11,2014,글로벌에너지,장  옥
bioenergy,9.9,경기  양주시  남면  상수리  산112-11,2014,글로벌에너지,장  옥
bioenergy,9.9,경기  포천시  신북면  청신로 1897(신평리  480-3번지),2014,씨씨에스리소스,박현주
gas,12.5,광주광역시  광산구  수완동 1149,2014,수완연료전지,김건택
solar,5.5,광주  서구  치평동 766-2 번지  외  28필지   광주제1하수종말처리장  구조물  상부,2014,빛고을신재생,오형석
solar,7.4,충남  서산시  고북면  신정리 726-19외 9필지(건물 7동   포함)  (해미비행장內),2014,용성솔라에너지,김범헌
bioenergy,9.9,전남  여수시  율촌면  율촌 제1산업단지,2014,금호석유화학,김성채
others,6.5,충북  청주시  청원구  북이면 신대석성로  253-4,2014,진주산업,남상부
bioenergy,9.9,충남  서천군  장항읍  원수리 450-12번지,2014,수목에코,김길훈
wind,26.4,"경북  영양군  영양읍  무창리 산62-36,  3-2,  110,  108",2014,와이지이,오동석
wind,20.0,"포항시  북구  신광면  냉수리 산63,  62,  61,  17,  16-1,  16, 15,  14,  8,  7,  흥해읍    매산 리  산84,  82,  흥해읍  학천리  산1-13",2014,대명지이씨 ,서기섭 
wind,45.0,"경남남해군서면노구리산98,산99-2번지남상리산60-2,산60-3번지",2014,남해파워,김성훈
solar,3.1,제주특별자치도  제주시  구좌읍  덕천리  산  82,2014,제주사랑에너지,위대호
wind,40.0,강원  정선군  고한읍  고한리 산216-1  등지,2014,정암풍력발전,이용운
gas,50.2,부산시  기장군  정관면  산단1로  83,2014,부산정관에너지,최성용
gas,50.2,부산시  기장군  정관면  산단1로  83,2014,부산정관에너지,최성용
others,9.1,부산시  강서구  화전산단1로  63번길  10(화전동),2014,성림엔지니어링,남곤
wind,40.0,"전남  화순군  도암면  우치리 산89-1,  청풍면  백운리  산132-1,  이만리  산165",2014,대명지이씨(주),서기섭
wind,20.0,"강원  태백시  통동  산69,  황지동  산173-1",2014,한백풍력발전,김흥식
wind,26.0,"강원  평창군  봉평면  진조리 산80-1,  횡성군  둔내면  삽 교리  산1-3",2014,청산풍력발전 ,김흥식 
gas,920.0,경남  통영시  광도면  일원,2014,통영에코파워,한경훈
bioenergy,9.1,강원  강릉시  옥계면  산계리 8번지(라파즈한라시멘트  공장부지  내),2014,엘아이케이파워,구자숭
gas,20.0,서울시  마포구  상암동 481-6(월드컵공원내),2014,노을그린에너지,조경석
bioenergy,9.9,"전남  여수시  여수국가산단 내(여수산단2로  46-51,  월하동)",2015,금호석유화학,김성채
wind,36.8,"경남  산청군  신등면  모례리 산78-1,  산청읍  범학리  산31,  척지리  산134",2015,제이파워,박주원
wind,21.0,"경남  산청군  신등면  율현리 산166,  산169,  척지리  산17",2015,대명지이씨,서기섭
wind,20.0,경북  청송군  안덕면  노래리 산68-1번지  일원,2015,대명지이씨,서기섭
others,25.0,충남  천안시  청당동  청수8로  56번길,2015,중부도시가스,김병표
bioenergy,30.0,전남  장흥군  해당리  장흥 바이오  식품산업단지내,2015,한라,최병수
wind,9.0,"경남  양산시  상북면  내석리 산237,  산238,  산239",2015,동국에스앤씨,양승주
wind,20.0,"경 남 산 청 군 금 서 면 특 리 산79-1,산79-2,자혜리산7-1일대",2015,대우조선해양건설,정재영
solar,16.0,"전남  강진군  도암면  석문리 산  215,  산194-3  일원",2015,탑인프라영암태양광발전소,양홍석
solar,5.8,경북  김천시  어모면  산업단지로  39번지  공장지붕,2015,케이씨씨 김천공장,"정몽익,정몽진"
solar,4.0,경북  김천시  어모면  옥계리 산214번지,2015,태안발전에너지,위대성
solar,7.3,전북  남원시  광치동  산51-1외  9필지  일원,2015,우리에너지,양만진
nuclear,2800.0,경북  울진군  북면  울진북로 2040,2015,한국수력원자 력,조  석 
others,8.0,울산시  남구  장생포로  285번길,2015,삼양사,문성환
bioenergy,9.9,"충남  청양군  정산면  역촌리 701-1,  703-1,  705-3번지",2015,수목에코,김길훈
others,30.8,부산광역시  해운대구  해운대로  896,2015,부 산 그 린 에 너지,주환오
bioenergy,9.5,전남  무안군  청계면  영산로 1958-98,2015,한라오엠에스,신헌식
bioenergy,9.9,경남  함안군  대산면  부목리 169,2015,강 산 자 원 에 너지,고재학
wind,40.0,전남  신안군  압해면  가룡리 일원,2015,압 해 풍 력 발 전소,"이 종 희 ,오상운"
wind,72.6,"전남  장성군  삼계면  부성리 산129-3,  산129-2,  신기리 산141-2,  화산리  산136-1, 산137-8,    삼서면  학성리  산96-2",2015,부선풍력,신상일
wind,40.0,"전남  고흥군  호형리  산126, 산127,  산128,  산129,  산171-1,  산171-3,  산171-4, 산171-5,  산171-6,  등암리 산6,  포두면  봉림리  산34, 산36,  산36-1,  산130-1,  풍양면  율치리  산151",2015,고흥풍력,이상득
others,8.0,울산시  울주군  온산읍  원산로  59,2015,유니큰,송남용
bioenergy,9.9,"충남  홍성군  구항면  지정리 107-11,  산24",2015,솔라뱅크,조창현
wind,333.0,"강원  고성군  수동면,  현내면, 간성읍,  거진읍  일원",2015,지에이파워,김성훈
solar,9.9,전북  군산시  새만금  매립지 일원,2015,씨엔피브이파워코리아,장성군
gas,240.0,제주시  삼양동  900번지,2015,한국중부발전,최평락
bioenergy,9.9,부산시  강서구  명지동 607-641,2015,코오롱글로벌,윤창운
